URL,Price,Rooms,Baths,Area,Lat,Lon,Floor,Finishing,Governate,Neighbourhood
https://aqarmap.com.eg/ar/listing/6089539-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3285000,1,1,73,27.218941,33.834897,2,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6082893-for-sale-red-sea-hy-lkwthr/,3128850,1,1,75,27.22871,33.834897,1,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6089615-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3150000,1,1,70,27.218941,33.834897,2,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6080604-for-sale-red-sea-hy-lkwthr/,2400000,1,1,50,27.22871,33.834897,2,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6099111-for-sale-red-sea-hurghada-resorts-florenza-khamsin-eitc/,2560467,1,1,53,27.1994,33.840391,1,سوبر لوكس,البحر الأحمر,  منتجع فلورنزا خمسين 
https://aqarmap.com.eg/ar/listing/6088382-for-sale-red-sea-hy-lkwthr/,2730000,1,1,65,27.22871,33.834897,2,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6089319-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3293000,1,1,74,27.218941,33.834897,3,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6162063-for-sale-red-sea-hy-lkwthr/,3295110,1,1,71,27.22871,33.834897,1,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6162165-for-sale-red-sea-hurghada-resorts/,3372500,1,1,71,27.22871,33.834897,2,سوبر لوكس,البحر الأحمر,  مبارك 6
https://aqarmap.com.eg/ar/listing/6086244-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3526000,2,1,82,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6279948-for-sale-red-sea-el-hadba-sheraton-st/,3928050,2,1,86,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  شارع الشيراتون
https://aqarmap.com.eg/ar/listing/6429395-for-sale-red-sea-el-hadba-sheraton-st/,3268125,1,1,75,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  شارع الشيراتون
https://aqarmap.com.eg/ar/listing/6508312-for-sale-cairo-new-cairo-compounds-lakeview-residence/,18000000,3,3,204,30.024799,31.533262,2,اكسترا سوبر لوكس,القاهرة الكبرى,  ليك فيو ريزيدنس 
https://aqarmap.com.eg/ar/listing/6117377-for-sale-cairo-old-cairo-el-fostat-lfstt-ljdyd-arabesque-compound-sed/,3800000,2,3,153,30.005774,31.242124,3,اكسترا سوبر لوكس,القاهرة الكبرى,كمبوند ارابيسك 
https://aqarmap.com.eg/ar/listing/6028013-for-sale-cairo-new-cairo-compounds-kmbwnd-lnkhyl/,8500000,4,3,245,30.06284,31.428892,0,سوبر لوكس,القاهرة الكبرى,كمبوند النخيل
https://aqarmap.com.eg/ar/listing/6491440-for-sale-cairo-new-cairo-el-lotus-lotus-north-lmntq-lthny-llwts-lshmly/,3800000,3,2,120,30.043821,31.522275,4,سوبر لوكس,القاهرة الكبرى,  المنطقة الثانية 
https://aqarmap.com.eg/ar/listing/6374062-for-sale-red-sea-el-ahyaa/,3600000,1,1,72,27.248246,33.829404,1,سوبر لوكس,البحر الأحمر,  الاحياء
https://aqarmap.com.eg/ar/listing/6424605-for-sale-red-sea-el-hadba-sheraton-st/,3843932,1,1,76,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  شارع الشيراتون
https://aqarmap.com.eg/ar/listing/6454798-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,9141000,3,1,125,27.111423,33.818418,1,سوبر لوكس,البحر الأحمر,  منتجع وان سيفن 
https://aqarmap.com.eg/ar/listing/6119262-for-sale-north-coast-new-alamein-mntj-t-l-lmyn-ljdyd-kmbwnd-mzryn/,9800000,3,3,231,30.839431,28.956968,2,اكسترا سوبر لوكس,الساحل الشمالي,  منتجع مزارين 
https://aqarmap.com.eg/ar/listing/6068825-for-sale-cairo-el-sheikh-zayed-city-compounds-el-khamayel/,7500000,3,3,170,30.034311,31.027891,0,اكسترا سوبر لوكس,القاهرة الكبرى,  الخمائل
https://aqarmap.com.eg/ar/listing/6294693-for-sale-red-sea-kwrnysh-lgrdq/,3607500,3,1,111,27.1994,33.840391,2,سوبر لوكس,البحر الأحمر,  كورنيش الغردقة
https://aqarmap.com.eg/ar/listing/6230524-for-sale-cairo-new-cairo-compounds-el-patio-oro/,14760000,3,3,164,30.034311,31.588193,3,نصف تشطيب,القاهرة الكبرى,  كمبوند الباتيو أورو 
https://aqarmap.com.eg/ar/listing/6191231-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-kmbwnd-mwnty-nbwlywny-rybwrtj-l-qry/,7500000,3,2,137,30.053331,31.632139,3,اكسترا سوبر لوكس,القاهرة الكبرى,  كمبوند مونتي نابوليوني 
https://aqarmap.com.eg/ar/listing/6074670-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-bloomfields/,12978000,2,2,153,30.072348,31.643125,2,نصف تشطيب,القاهرة الكبرى,  كمبوند بلوم فيلدز 
https://aqarmap.com.eg/ar/listing/6141417-for-sale-cairo-el-sheikh-zayed-city-compounds-opera-city/,5500000,3,2,157,30.043821,30.989438,3,سوبر لوكس,القاهرة الكبرى,  أوبرا سيتي 
https://aqarmap.com.eg/ar/listing/6459432-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3418800,1,1,74,27.209171,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6088569-for-sale-cairo-el-shorouk-compounds-al-burouj-compound-imkan/,17000000,3,2,180,30.195866,31.659604,2,اكسترا سوبر لوكس,القاهرة الكبرى,  كمبوند البروج 
https://aqarmap.com.eg/ar/listing/6289918-for-sale-red-sea-hy-lkwthr/,3200000,1,1,64,27.22871,33.834897,2,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6289700-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,5340000,1,1,80,27.111423,33.818418,1,سوبر لوكس,البحر الأحمر,  منتجع وان سيفن 
https://aqarmap.com.eg/ar/listing/6177399-for-sale-red-sea-hy-lkwthr/,5290000,2,1,108,27.22871,33.834897,3,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6294909-for-sale-red-sea-kwrnysh-lgrdq/,4508500,3,1,127,27.1994,33.840391,2,سوبر لوكس,البحر الأحمر,  كورنيش الغردقة
