URL,Price,Address,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6091789-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,220,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,70,27.218941,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6445111-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,"9,600,000
    جنيه",البحر الأحمر  /  منتجع وان سيفن - كرونبرج,3,1,160,27.111423,33.818418,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6095547-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"5,850,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,2,1,115,27.218941,33.834897,4,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6234507-for-sale-red-sea-hurghada-resorts-long-beach-residence-eitc/,"6,294,876
    جنيه",البحر الأحمر  /  لونج بيتش ريزيدنس - ايه اي تي سي,1,1,78,27.082082,33.851377,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6306598-for-sale-alexandria-sydy-bshr-sydy-bshr-bhry-gamal-abd-el-nasir-st/,"3,350,000
    جنيه",الاسكندرية  /  شارع جمال عبد الناصر,3,1,125,31.262965,29.989683,16,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6353610-for-sale-cairo-new-cairo-ganob-el-akadamiya-south-academy-z/,"7,700,000
    جنيه",القاهرة الكبرى  /  جنوب الاكاديميه (ز),3,2,200,30.034311,31.434385,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6455354-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan/,"4,900,000
    جنيه",القاهرة الكبرى  /  بيت الوطن,3,2,175,30.015287,30.978452,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6472128-for-sale-cairo-new-cairo-compounds-lakeview-residence/,"25,000,000
    جنيه",ليك فيو ريزيدنس - الحاذق,3,3,321,30.024799,31.533262,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6379920-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-omarat-al-gabri-st/,"5,500,000
    جنيه",القاهرة الكبرى  /  شارع الجابري,2,1,150,30.034311,31.461851,4,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6227939-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-9-ibrahim-saafan-st/,"6,000,000
    جنيه",شارع ابراهيم سعفان,3,2,200,30.053331,31.467344,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6503647-for-sale-cairo-new-cairo-compounds-tag-city-origami-gardens-taj-city-compound/,"10,200,000
    جنيه",القاهرة الكبرى  /  أوريجامي جاردنز - كمبوند تاج سيتي,2,2,116,30.072348,31.401426,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6449643-for-sale-red-sea-el-ahyaa/,"11,022,000
    جنيه",البحر الأحمر  /  الاحياء,1,1,167,27.248246,33.829404,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6266269-for-sale-cairo-new-administrative-capital-r8-syty-wfl/,"8,653,486
    جنيه",كمبوند سيتي اوفال - ماستر جروب,3,3,240,29.977228,31.763975,الارضي,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6313533-for-sale-cairo-new-administrative-capital-r7-the-city-compound-master-group/,"8,586,000
    جنيه",القاهرة الكبرى  /  كمبوند ذا سيتي - ماستر جروب,N/A,N/A,158,29.958194,31.709043,N/A,N/A
https://aqarmap.com.eg/ar/listing/6434184-for-sale-cairo-new-cairo-lrhb-city-phase-5-ibn-al-nafees-st/,"5,050,000
    جنيه",القاهرة الكبرى  /  شارع ابن النفيس,3,2,108,30.072348,31.483823,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6423464-for-sale-cairo-new-cairo-tamr-hena-tamr-hena-3/,"5,750,000
    جنيه",القاهرة الكبرى  /  تمر حنة 3,3,3,275,30.053331,31.527769,2,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6283598-for-sale-alexandria-cleopatra-tryq-ljysh/,"7,800,000
    جنيه",طريق الجيش,4,2,245,31.215999,29.923765,11,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6461276-for-sale-cairo-new-cairo-compounds-lakeview-residence/,"28,850,000
    جنيه",القاهرة الكبرى  /  ليك فيو ريزيدنس - الحاذق,4,4,300,30.024799,31.533262,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6281917-for-sale-cairo-el-shorouk-compounds-al-burouj-compound-imkan/,"7,400,000
    جنيه",القاهرة الكبرى  /  كمبوند البروج - إمكان,3,3,180,30.195866,31.659604,5,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6111073-for-sale-red-sea-hurghada-resorts-scandic-resort-eitc/,"4,331,200
    جنيه",البحر الأحمر  /  منتجع سكانديك - ايه اي تي سي,1,1,53,27.1994,33.840391,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6342202-for-sale-cairo-new-cairo-lrhb-city-phase-5-ibn-al-nafees-st/,"9,000,000
    جنيه",القاهرة الكبرى  /  شارع ابن النفيس,3,3,161,30.072348,31.483823,1,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6332470-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-bloomfields/,"8,469,000
    جنيه",القاهرة الكبرى  /  كمبوند بلوم فيلدز - تطوير مصر,3,2,155,30.072348,31.643125,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6231420-for-sale-cairo-new-administrative-capital-r7-kmbwnd-bwtnyk-nyw-jynyryshn-llttwyr/,"5,758,180
    جنيه",كمبوند بوتانيكا - نيو جينيريشن,2,2,142,29.958194,31.731016,7,نصف تشطيب
