URL,Price,State,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6601451-for-sale-north-coast-new-alamein-mntj-t-l-lmyn-ljdyd-latin-city-city-edge/,"4,284,000 جنيه",الساحل الشمالي / لاتين سيتي - سيتي ايدج,2,2,139,30.858295,28.929502,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6605018-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-park-central-compound-hassan-allam/,"7,300,000 جنيه",القاهرة الكبرى / كمبوند بارك سنترال - حسن علام,2,1,75,30.053331,31.676084,3,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6570595-for-sale-cairo-new-cairo-madinaty-eighth-zone-buildings-madinaty-b-8/,"5,237,000 جنيه",القاهرة الكبرى / مدينتي - بي 8,2,2,103,30.11037,31.637632,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6622969-for-sale-cairo-el-maadi-compounds/,"5,920,000 جنيه",القاهرة الكبرى / كمبوند أشجار دارنا - ام سكويرد,N/A,N/A,148,29.977228,31.324521,N/A,N/A
https://aqarmap.com.eg/ar/listing/6600217-for-sale-cairo-new-cairo-madinaty-fourteenth-zone-buildings-fourteenth-zone-buildings/,"11,028,000 جنيه",القاهرة الكبرى / منطقة العمارات 14,3,2,141,30.091361,31.676084,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6629413-for-sale-sharm-el-sheikh-sharm-el-sheikh-naama-bay/,"3,055,000 جنيه",,N/A,N/A,65,27.910413,34.318296,N/A,N/A
https://aqarmap.com.eg/ar/listing/6608012-for-sale-cairo-new-administrative-capital-r7-el-zohour-compound/,"4,105,500 جنيه",,3,2,175,29.948675,31.720029,3,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6605664-for-sale-cairo-new-administrative-capital-r7-the-capital-way/,"20,500,000 جنيه",,4,4,260,29.967712,31.736509,3,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6528791-for-sale-cairo-el-shorouk-compounds-granda-alshrouk/,"6,250,000 جنيه",,N/A,N/A,167,30.119873,31.621152,N/A,N/A
https://aqarmap.com.eg/ar/listing/6622273-for-sale-cairo-el-sheikh-zayed-city-compounds-calm-residence-dcm/,"8,519,000 جنيه",القاهرة الكبرى / كالم ريزيدنس - دي سي ام,3,2,177,30.043821,31.016904,الارضي,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6609953-for-sale-cairo-new-cairo-el-narges-el-narges-7-sayed-darwish-st/,"8,200,000 جنيه",,3,3,202,30.005774,31.456357,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6611120-for-sale-cairo-new-cairo-gharb-arabila-doctor-hani-maher-st/,"7,000,000 جنيه",القاهرة الكبرى / شارع الدكتور هاني ماهر,3,3,185,29.99626,31.423398,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6600136-for-sale-cairo-new-cairo-madinaty-twelfth-zone-buildings-madinaty-b-12/,"3,500,000 جنيه",القاهرة الكبرى / مدينتي - بي 12,2,2,75,30.081855,31.670591,5,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6609932-for-sale-cairo-new-cairo-madinaty-eighth-zone-buildings-madinaty-b-8/,"19,000,000 جنيه",,3,4,337,30.11037,31.637632,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6610429-for-sale-cairo-new-administrative-capital-mntq-lmstthmryn-capital-heights/,"5,739,238 جنيه",القاهرة الكبرى / كمبوند كابيتال هايتس 1 - الصفوة,3,2,160,29.977228,31.720029,4,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6540273-for-sale-cairo-new-cairo-compounds-lakeview-residence/,"24,000,000 جنيه",القاهرة الكبرى / ليك فيو ريزيدنس - الحاذق,3,3,220,30.024799,31.533262,الارضي,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6618788-for-sale-cairo-new-cairo-compounds-dar-misr-el-koronfel/,"3,800,000 جنيه",القاهرة الكبرى / دار مصر القرنفل,3,3,150,30.06284,31.522275,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6617495-for-sale-cairo-new-cairo-madinaty-twelfth-zone-buildings-madinaty-b-12/,"4,164,000 جنيه",القاهرة الكبرى / مدينتي - بي 12,2,1,79,30.081855,31.670591,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6618550-for-sale-cairo-heliopolis-el-korba-cleopatra-st/,"8,000,000 جنيه",,6,4,240,30.091361,31.324521,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6570568-for-sale-cairo-new-cairo-madinaty-first-zone-buildings-madinaty-road/,"9,000,000 جنيه",القاهرة الكبرى / طريق مدينتي,3,3,183,30.100866,31.632139,1,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6619988-for-sale-cairo-new-cairo-lrhb-city-phase-5-talaat-mostafa-st/,"7,200,000 جنيه",القاهرة الكبرى / شارع طلعت مصطفي,3,3,155,30.072348,31.483823,5,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6609027-for-sale-cairo-new-cairo-el-andalous-al-andalus-1/,"8,500,000 جنيه",,3,3,218,29.99626,31.511289,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6611062-for-sale-cairo-nasr-city-abd-el-razek-el-sanhoury-st/,"7,500,000 جنيه",,3,3,225,30.06284,31.341001,10,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6593562-for-sale-cairo-new-cairo-new-narges/,"4,900,000 جنيه",القاهرة الكبرى / النرجس الجديدة,3,2,185,29.99626,31.456357,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6619349-for-sale-alexandria-sydy-bshr-tryq-ljysh/,"9,000,000 جنيه",الاسكندرية / طريق الجيش,3,3,220,31.262965,29.978696,16,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6614576-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-1-tagan-st/,"6,950,000 جنيه",القاهرة الكبرى / شارع تاجان,3,3,220,30.06284,31.467344,N/A,N/A
https://aqarmap.com.eg/ar/listing/6512607-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-green-city-compound-qebaa/,"3,596,000 جنيه",,3,2,116,29.901067,31.071836,N/A,N/A
https://aqarmap.com.eg/ar/listing/6197615-for-sale-cairo-new-cairo-compounds-sarai-club-views-sarai-compound/,"3,700,000 جنيه",القاهرة الكبرى / كلوب فيوز - كمبوند سراي,2,2,114,30.091361,31.698057,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6614504-for-sale-cairo-el-maadi-zahraa-el-maadi-zahraa-el-maadi-st/,"5,700,000 جنيه",القاهرة الكبرى / شارع زهراء المعادي,3,3,220,29.967712,31.280576,6,سوبر لوكس
